X_IMU,Y_IMU,Y_FR,Z_FR,Clase
17.678,-8.432,18.776.932,-8.321.433,3
17.233,-8.542,18.776.932,-8.321.433,3
16.902,-8.629,18.776.932,-8.321.433,3
16.661,-87,18.776.932,-8.321.433,3
16.583,-876,18.776.932,-8.321.433,3
16.548,-8.804,18.776.932,-8.321.433,3
16.539,-8.835,18.776.932,-8.321.433,3
16.565,-8.838,18.776.932,-8.321.433,3
16.611,-8.814,18.776.932,-8.321.433,3
16.634,-8.791,18.776.932,-8.321.433,3
16.734,-8.784,18.776.932,-8.321.433,3
16.902,-8.753,18.776.932,-8.321.433,3
17.043,-874,18.776.932,-8.321.433,3
17.125,-8.755,18.776.932,-8.321.433,3
17.117,-8.783,18.776.932,-8.321.433,3
16.982,-8.825,18.776.932,-8.321.433,3
16.849,-887,18.776.932,-8.321.433,3
16.727,-8.885,18.776.932,-8.321.433,3
16.575,-8.881,18.776.932,-8.321.433,3
16.428,-8.896,18.776.932,-8.321.433,3
16.335,-8.898,1.574.112,-82.667.265,3
16.216,-891,1.574.112,-82.667.265,3
16.116,-8.934,1.574.112,-82.667.265,3
16.063,-8.973,1.574.112,-82.667.265,3
15.996,-902,1.574.112,-82.667.265,3
15.918,-9.059,1.574.112,-82.667.265,3
15.868,-9.099,1.574.112,-82.667.265,3
15.878,-9.111,1.574.112,-82.667.265,3
15.985,-9.097,1.574.112,-82.667.265,3
16.211,-9.052,1.574.112,-82.667.265,3
164,-9.013,1.574.112,-82.667.265,3
16.574,-9.001,1.574.112,-82.667.265,3
16.802,-8.975,1.574.112,-82.667.265,3
16.874,-8.887,1.574.112,-82.667.265,3
16.757,-8.775,1.574.112,-82.667.265,3
16.604,-867,1.574.112,-82.667.265,3
16.509,-861,11.245.909,-58.550.515,3
16.331,-8.626,11.245.909,-58.550.515,3
16.185,-8.686,11.245.909,-58.550.515,3
16.093,-8.737,11.245.909,-58.550.515,3
16.122,-8.748,11.245.909,-58.550.515,3
11.171,-20.272,-14.856.239,1.585.125,4
11.141,-20.204,-14.856.239,1.585.125,4
11.072,-20.132,-14.856.239,1.585.125,4
10.958,-20.045,-14.856.239,1.585.125,4
10.855,-19.948,-14.856.239,1.585.125,4
10.768,-19.868,-14.856.239,1.585.125,4
10.704,-19.828,-14.856.239,1.585.125,4
10.658,-19.834,-14.856.239,1.585.125,4
10.602,-19.845,-14.133.882,10.735.386,4
10.547,-19.842,-14.133.882,10.735.386,4
10.523,-19.834,-14.133.882,10.735.386,4
10.493,-19.834,-14.133.882,10.735.386,4
10.492,-19.831,-14.133.882,10.735.386,4
1.051,-19.831,-14.133.882,10.735.386,4
10.536,-19.813,-14.133.882,10.735.386,4
10.515,-19.777,-14.133.882,10.735.386,4
10.428,-19.762,-14.133.882,10.735.386,4
10.334,-19.776,-14.133.882,10.735.386,4
10.194,-19.788,-14.133.882,10.735.386,4
1.009,-1.981,-14.133.882,10.735.386,4
1.001,-19.836,-14.133.882,10.735.386,4
9.908,-19.854,-14.133.882,10.735.386,4
9.858,-1.987,-14.133.882,10.735.386,4
9.759,-19.872,-11.780.278,8.277.815,4
9.649,-19.873,-11.780.278,8.277.815,4
961,-1.984,-11.780.278,8.277.815,4
9.639,-19.786,-11.780.278,8.277.815,4
9.765,-19.736,-11.780.278,8.277.815,4
9.824,-19.735,-11.780.278,8.277.815,4
9.781,-19.748,-11.780.278,8.277.815,4
9.689,-19.745,-11.780.278,8.277.815,4
9.621,-19.729,-11.780.278,8.277.815,4
9.629,-19.698,-11.780.278,8.277.815,4
9.652,-1.965,-11.780.278,8.277.815,4
9.619,-19.603,-11.780.278,8.277.815,4
956,-19.544,-11.780.278,8.277.815,4
9.498,-1.947,-11.780.278,8.277.815,4
9.473,-19.384,-11.780.278,8.277.815,4
948,-19.329,-1.335.865,1.007.485,4
9.455,-19.338,-1.335.865,1.007.485,4
9.392,-19.419,-1.335.865,1.007.485,4
934,-19.505,-1.335.865,1.007.485,4
9.336,-19.567,-1.335.865,1.007.485,4
9.371,-19.594,-1.335.865,1.007.485,4
9.417,-19.591,-1.335.865,1.007.485,4
9.455,-19.558,-1.335.865,1.007.485,4
9.456,-19.513,-1.335.865,1.007.485,4
9.495,-19.455,-1.335.865,1.007.485,4
9.513,-19.409,-1.335.865,1.007.485,4
9.513,-19.384,-1.335.865,1.007.485,4
9.492,-19.373,-1.335.865,1.007.485,4
942,-19.354,36.765,23.649,4
