X_IMU,Y_IMU,Y_FR,Z_FR,Clase
-14.726,3.455,486.856,-9.179.097,1
-148,3.379,4.884.006,-89.026.375,1
-14.916,3.257,4.884.006,-89.026.375,1
-15.074,3.071,4.884.006,-89.026.375,1
-15.263,2.853,4.884.006,-89.026.375,1
-15.482,2.633,4.884.006,-89.026.375,1
-15.696,2.421,4.884.006,-89.026.375,1
-15.815,2.253,4.884.006,-89.026.375,1
-15.946,213,4.884.006,-89.026.375,1
-16.008,1.986,4.884.006,-89.026.375,1
-15.963,1.845,4.884.006,-89.026.375,1
-1.586,1.741,4.884.006,-89.026.375,1
-15.786,1.691,4.884.006,-89.026.375,1
-15.721,1.702,4.884.006,-89.026.375,1
-15.647,1.748,4.884.006,-89.026.375,1
-15.533,1.803,4.884.006,-89.026.375,1
-15.377,1.877,48.195.705,-10.300.249,1
-15.241,1.961,48.195.705,-10.300.249,1
-15.172,2.044,48.195.705,-10.300.249,1
-15.189,2.091,48.195.705,-10.300.249,1
-15.153,2.111,48.195.705,-10.300.249,1
-15.065,2.149,48.195.705,-10.300.249,1
-15.019,2.186,48.195.705,-10.300.249,1
-1.502,2.153,48.195.705,-10.300.249,1
-15.052,2.106,48.195.705,-10.300.249,1
-15.042,2.105,48.195.705,-10.300.249,1
-15.074,2.139,48.195.705,-10.300.249,1
-15.095,2.154,48.195.705,-10.300.249,1
-1.513,2.133,48.195.705,-10.300.249,1
-15.173,2.116,48.195.705,-10.300.249,1
-15.239,2.116,48.195.705,-10.300.249,1
-15.308,2.115,48.195.705,-10.300.249,1
-15.366,2.112,48.499.386,-75.477.686,1
-15.457,2.082,48.499.386,-75.477.686,1
-15.668,2.055,48.499.386,-75.477.686,1
-15.863,2.037,48.499.386,-75.477.686,1
-16.047,2.025,48.499.386,-75.477.686,1
-16.227,1.998,48.499.386,-75.477.686,1
-1.639,1.949,48.499.386,-75.477.686,1
-16.539,188,48.499.386,-75.477.686,1
-16.614,1.802,48.499.386,-75.477.686,1
-16.609,1.744,48.499.386,-75.477.686,1
-16.568,1.709,48.499.386,-75.477.686,1
-16.509,1.713,48.499.386,-75.477.686,1
-1.648,1.682,48.499.386,-75.477.686,1
-1.648,1.593,48.499.386,-75.477.686,1
-16.501,1.496,48.499.386,-75.477.686,1
-16.521,138,48.728.622,-8.740.408,1
-16.544,1.273,48.728.622,-8.740.408,1
-16.569,1.234,48.728.622,-8.740.408,1
-16.546,1.229,48.728.622,-8.740.408,1
-16.474,1.261,48.728.622,-8.740.408,1
-16.338,1.271,48.728.622,-8.740.408,1
-16.248,1.291,48.728.622,-8.740.408,1
-16.269,1.447,48.728.622,-8.740.408,1
-16.306,1.651,48.728.622,-8.740.408,1
-16.332,1.823,48.728.622,-8.740.408,1
-16.346,1.958,48.728.622,-8.740.408,1
-16.311,2.068,48.728.622,-8.740.408,1
-16.278,2.167,48.728.622,-8.740.408,1
-16.267,2.239,48.728.622,-8.740.408,1
-16.263,2.283,48.728.622,-8.740.408,1
-16.231,2.315,48.728.622,-8.740.408,1
-16.184,237,48.668.816,-8.807.333,1
-16.149,2.446,48.668.816,-8.807.333,1
-16.112,2.509,48.668.816,-8.807.333,1
-16.081,2.547,48.668.816,-8.807.333,1
-16.055,2.579,48.668.816,-8.807.333,1
-16.017,2.622,48.668.816,-8.807.333,1
-15.996,2.662,48.668.816,-8.807.333,1
-1.598,2.667,48.668.816,-8.807.333,1
-15.983,2.645,48.668.816,-8.807.333,1
-1.604,2.595,48.668.816,-8.807.333,1
-16.083,2.566,48.668.816,-8.807.333,1
-16.095,255,48.668.816,-8.807.333,1
-16.042,2.524,48.668.816,-8.807.333,1
-15.991,2.491,48.668.816,-8.807.333,1
-15.961,2.447,48.668.816,-8.807.333,1
-15.875,2.427,4.929.651,-9.973.952,1
-15.758,2.492,4.929.651,-9.973.952,1
-15.638,253,4.929.651,-9.973.952,1
-15.542,2.509,4.929.651,-9.973.952,1
-15.458,2.479,4.929.651,-9.973.952,1
-15.382,2.461,4.929.651,-9.973.952,1
-15.345,251,4.929.651,-9.973.952,1
-15.368,2.635,4.929.651,-9.973.952,1
-15.427,2.815,4.929.651,-9.973.952,1
-15.542,2.938,4.929.651,-9.973.952,1
-15.689,2.946,4.929.651,-9.973.952,1
-15.815,2.917,4.929.651,-9.973.952,1
-15.945,2.869,4.929.651,-9.973.952,1
-16.049,2.806,4.929.651,-9.973.952,1
-16.137,2.737,4.929.651,-9.973.952,1
-16.152,2.672,49.028.492,-7.826.552,1
-16.119,2.587,49.028.492,-7.826.552,1
-16.037,2.486,49.028.492,-7.826.552,1
-15.977,2.441,49.028.492,-7.826.552,1
-15.963,2.451,49.028.492,-7.826.552,1
-15.964,2.447,49.028.492,-7.826.552,1
-15.938,2.443,49.028.492,-7.826.552,1
-15.881,2.426,49.028.492,-7.826.552,1
-15.849,241,49.028.492,-7.826.552,1
-15.862,2.373,49.028.492,-7.826.552,1
-15.852,2.335,49.028.492,-7.826.552,1
-15.831,2.343,49.028.492,-7.826.552,1
-15.779,2.403,49.028.492,-7.826.552,1
-15.726,2.483,49.028.492,-7.826.552,1
-15.693,2.567,49.028.492,-7.826.552,1
-1.567,2.629,4.661.994,-8.072.752,1
-1.559,2.672,4.661.994,-8.072.752,1
-15.506,269,4.661.994,-8.072.752,1
-15.416,2.708,4.661.994,-8.072.752,1
-15.347,2.748,4.661.994,-8.072.752,1
-15.278,2.823,4.661.994,-8.072.752,1
-15.188,2.975,4.661.994,-8.072.752,1
-15.119,3.085,4.661.994,-8.072.752,1
-15.052,3.092,4.661.994,-8.072.752,1
-14.986,3.035,4.661.994,-8.072.752,1
-14.891,295,4.661.994,-8.072.752,1
-14.802,2.894,4.661.994,-8.072.752,1
-1.473,2.865,4.661.994,-8.072.752,1
-14.653,2.847,4.661.994,-8.072.752,1
-14.587,2.832,4.661.994,-8.072.752,1
-14.555,2.813,4.410.779,-5.568.503,1
-1.454,284,4.410.779,-5.568.503,1
-14.547,2.849,4.410.779,-5.568.503,1
-1.456,2.836,4.410.779,-5.568.503,1
-14.546,2.811,4.410.779,-5.568.503,1
-14.488,2.765,4.410.779,-5.568.503,1
-14.399,2.728,4.410.779,-5.568.503,1
-14.294,2.717,4.410.779,-5.568.503,1
-14.178,2.715,4.410.779,-5.568.503,1
-14.064,2.716,4.410.779,-5.568.503,1
-14.017,2.705,4.410.779,-5.568.503,1
-14.035,2.679,4.410.779,-5.568.503,1
-14.062,2.647,4.410.779,-5.568.503,1
-14.049,2.606,4.410.779,-5.568.503,1
-14.043,2.575,4.410.779,-5.568.503,1
-14.041,2.551,4.367.865,-6.385.902,1
-14.044,2.524,4.367.865,-6.385.902,1
-1.401,2.484,4.367.865,-6.385.902,1
-13.959,2.431,4.367.865,-6.385.902,1
-13.894,2.381,4.367.865,-6.385.902,1
-13.827,2.353,4.367.865,-6.385.902,1
-13.764,2.363,4.367.865,-6.385.902,1
-13.678,2.376,4.367.865,-6.385.902,1
-13.612,2.382,4.367.865,-6.385.902,1
-22.296,-17.216,-331.269,-14.272.054,2
-22.809,-17.653,-331.269,-14.272.054,2
-23.138,-17.876,-331.269,-14.272.054,2
-23.362,-18.086,-331.269,-14.272.054,2
-23.496,-18.218,-331.269,-14.272.054,2
-23.603,-18.358,-331.269,-14.272.054,2
-23.691,-18.546,-331.269,-14.272.054,2
-23.804,-18.802,-331.269,-14.272.054,2
-23.944,-19.149,-331.269,-14.272.054,2
-2.412,-1.962,-331.269,-14.272.054,2
-2.429,-20.182,-331.269,-14.272.054,2
-24.466,-2.076,-331.269,-14.272.054,2
-24.663,-21.249,-331.269,-14.272.054,2
-24.867,-21.642,-28.073.393,24.162.953,2
-25.059,-21.934,-28.073.393,24.162.953,2
-25.219,-22.079,-28.073.393,24.162.953,2
-25.339,-22.072,-28.073.393,24.162.953,2
-25.411,-21.977,-28.073.393,24.162.953,2
-2.546,-21.867,-28.073.393,24.162.953,2
-25.486,-21.759,-28.073.393,24.162.953,2
-25.495,-217,-28.073.393,24.162.953,2
-2.554,-21.688,-28.073.393,24.162.953,2
-25.568,-21.682,-28.073.393,24.162.953,2
-25.573,-21.675,-28.073.393,24.162.953,2
-25.617,-21.631,-28.073.393,24.162.953,2
-25.708,-21.537,-28.073.393,24.162.953,2
-25.801,-21.409,-28.073.393,24.162.953,2
-25.874,-21.237,-28.073.393,24.162.953,2
-2.592,-21.067,-28.073.393,24.162.953,2
-25.944,-20.858,-23.813.805,3.440.604,2
-25.993,-20.613,-23.813.805,3.440.604,2
-26.029,-20.308,-23.813.805,3.440.604,2
-25.997,-19.973,-23.813.805,3.440.604,2
-25.885,-19.664,-23.813.805,3.440.604,2
-25.751,-19.395,-23.813.805,3.440.604,2
-25.678,-19.189,-23.813.805,3.440.604,2
-25.619,-1.902,-23.813.805,3.440.604,2
-25.616,-18.881,-23.813.805,3.440.604,2
-25.551,-18.792,-23.813.805,3.440.604,2
-25.398,-18.706,-23.813.805,3.440.604,2
-252,-18.637,-23.813.805,3.440.604,2
-24.938,-18.511,-23.813.805,3.440.604,2
-24.698,-18.289,-23.813.805,3.440.604,2
-24.459,-18.012,-31.536.186,-16.077.524,2
-24.202,-17.668,-31.536.186,-16.077.524,2
-23.888,-17.317,-31.536.186,-16.077.524,2
-23.565,-16.913,-31.536.186,-16.077.524,2
-23.247,-16.465,-31.536.186,-16.077.524,2
-22.963,-16.101,-31.536.186,-16.077.524,2
-22.696,-15.835,-31.536.186,-16.077.524,2
-22.489,-15.639,-31.536.186,-16.077.524,2
-22.302,-15.504,-31.536.186,-16.077.524,2
-22.168,-15.401,-31.536.186,-16.077.524,2
-22.065,-1.541,-31.536.186,-16.077.524,2
-22.027,-15.462,-31.536.186,-16.077.524,2
-22.032,-15.561,-31.536.186,-16.077.524,2
-22.085,-15.647,-31.536.186,-16.077.524,2
-22.193,-15.711,-31.536.186,-16.077.524,2
-22.334,-1.576,-28.298.382,-6.049.031,2
-22.488,-15.816,-28.298.382,-6.049.031,2
-2.262,-1.588,-28.298.382,-6.049.031,2
-22.639,-15.919,-28.298.382,-6.049.031,2
-22.637,-15.969,-28.298.382,-6.049.031,2
-22.661,-16.032,-28.298.382,-6.049.031,2
-2.266,-16.079,-28.298.382,-6.049.031,2
-22.646,-16.128,-28.298.382,-6.049.031,2
-22.618,-1.621,-28.298.382,-6.049.031,2
-226,-16.308,-28.298.382,-6.049.031,2
-22.584,-16.453,-28.298.382,-6.049.031,2
-22.602,-16.622,-28.298.382,-6.049.031,2
-22.673,-16.798,-28.298.382,-6.049.031,2
-22.775,-1.702,-28.298.382,-6.049.031,2
-2.295,-17.272,-28.298.382,-6.049.031,2
-23.021,-17.523,-28.298.382,-6.049.031,2
-2.297,-17.692,-28.298.382,-6.049.031,2
-22.925,-17.777,-3.091.195,-13.804.021,2
-22.904,-17.775,-3.091.195,-13.804.021,2
-22.912,-17.716,-3.091.195,-13.804.021,2
-22.926,-17.675,-3.091.195,-13.804.021,2
-22.934,-17.706,-3.091.195,-13.804.021,2
-22.966,-17.801,-3.091.195,-13.804.021,2
-23.088,-17.938,-3.091.195,-13.804.021,2
-2.324,-18.072,-3.091.195,-13.804.021,2
-23.413,-1.824,-3.091.195,-13.804.021,2
-2.354,-18.419,-3.091.195,-13.804.021,2
-23.652,-18.558,-3.091.195,-13.804.021,2
-23.808,-18.618,-3.091.195,-13.804.021,2
-23.981,-18.629,-3.091.195,-13.804.021,2
-2.413,-18.646,-3.091.195,-13.804.021,2
-2.419,-18.649,-3.341.737,36.492.857,2
-24.202,-1.865,-3.341.737,36.492.857,2
-24.152,-18.621,-3.341.737,36.492.857,2
-24.052,-18.569,-3.341.737,36.492.857,2
-23.925,-18.493,-3.341.737,36.492.857,2
-23.765,-18.393,-3.341.737,36.492.857,2
-23.579,-18.308,-3.341.737,36.492.857,2
-23.377,-18.236,-3.341.737,36.492.857,2
-23.186,-18.178,-3.341.737,36.492.857,2
-2.306,-1.814,-3.341.737,36.492.857,2
-22.993,-18.102,-3.341.737,36.492.857,2
-22.958,-18.096,-3.341.737,36.492.857,2
-22.924,-18.119,-3.341.737,36.492.857,2
-22.882,-18.182,-3.341.737,36.492.857,2
-22.851,-18.272,-3.341.737,36.492.857,2
-22.913,-18.362,-3.356.697,-23.192.234,2
-22.998,-18.481,-3.356.697,-23.192.234,2
-23.141,-18.614,-3.356.697,-23.192.234,2
-23.312,-18.754,-3.356.697,-23.192.234,2
-23.362,-18.896,-3.356.697,-23.192.234,2
-23.313,-18.972,-3.356.697,-23.192.234,2
-23.142,-19.005,-3.356.697,-23.192.234,2
-22.924,-18.998,-3.356.697,-23.192.234,2
-22.713,-18.954,-3.356.697,-23.192.234,2
-22.549,-18.917,-3.356.697,-23.192.234,2
-22.406,-18.861,-3.356.697,-23.192.234,2
-2.224,-18.781,-3.356.697,-23.192.234,2
-21.945,-18.685,-3.356.697,-23.192.234,2
-21.543,-18.535,-3.356.697,-23.192.234,2
-21.177,-18.368,-3.356.697,-23.192.234,2
-20.877,-18.174,-35.002.182,-27.352.989,2
-20.655,-17.939,-35.002.182,-27.352.989,2
-20.505,-17.698,-35.002.182,-27.352.989,2
-20.374,-17.484,-35.002.182,-27.352.989,2
-20.269,-17.329,-35.002.182,-27.352.989,2
-20.165,-17.215,-35.002.182,-27.352.989,2
-20.042,-17.145,-35.002.182,-27.352.989,2
-1.989,-17.098,-35.002.182,-27.352.989,2
-19.715,-17.068,-35.002.182,-27.352.989,2
-19.501,-17.038,-35.002.182,-27.352.989,2
-1.929,-16.963,-35.002.182,-27.352.989,2
-1.905,-16.871,-35.002.182,-27.352.989,2
-18.864,-16.774,-35.002.182,-27.352.989,2
-18.742,-16.677,-35.002.182,-27.352.989,2
-18.679,-16.591,-35.002.182,-27.352.989,2
-18.669,-16.505,-38.883.713,-12.063.009,2
-18.715,-16.438,-38.883.713,-12.063.009,2
-1.885,-16.424,-38.883.713,-12.063.009,2
-19.034,-16.398,-38.883.713,-12.063.009,2
-19.266,-16.324,-38.883.713,-12.063.009,2
-19.561,-16.198,-38.883.713,-12.063.009,2
-20.183,-16.133,-38.883.713,-12.063.009,2
-21.217,-16.228,-38.883.713,-12.063.009,2
-22.301,-1.633,-38.883.713,-12.063.009,2
-23.229,-16.352,-38.883.713,-12.063.009,2
-24.074,-16.337,-38.883.713,-12.063.009,2
-25.066,-16.373,-38.883.713,-12.063.009,2
-2.576,-16.345,-38.883.713,-12.063.009,2
-26.236,-16.215,-38.883.713,-12.063.009,2
-26.523,-16.032,-38.883.713,-12.063.009,2
-26.721,-15.853,-41.708.538,-21.155.264,2
-26.796,-15.715,-41.708.538,-21.155.264,2
-26.775,-15.639,-41.708.538,-21.155.264,2
-26.638,-15.567,-41.708.538,-21.155.264,2
-26.509,-15.512,-41.708.538,-21.155.264,2
-26.418,-15.462,-41.708.538,-21.155.264,2
-26.305,-15.378,-41.708.538,-21.155.264,2
-26.231,-15.273,-41.708.538,-21.155.264,2
-26.234,-15.139,-41.708.538,-21.155.264,2
-26.214,-15.001,-41.708.538,-21.155.264,2
-26.151,-14.801,-41.708.538,-21.155.264,2
-26.024,-1.449,-41.708.538,-21.155.264,2
-25.944,-14.089,-41.708.538,-21.155.264,2
-25.802,-13.602,-41.708.538,-21.155.264,2
-25.481,-13.057,-41.708.538,-21.155.264,2
-25.008,-12.452,-41.708.538,-21.155.264,2
-24.385,-11.924,-4.346.794,-17.113.541,2
-23.652,-11.475,-4.346.794,-17.113.541,2
-22.875,-11.044,-4.346.794,-17.113.541,2
-22.206,-10.638,-4.346.794,-17.113.541,2
-21.587,-10.212,-4.346.794,-17.113.541,2
-21.007,-9.766,-4.346.794,-17.113.541,2
-20.607,-9.315,-4.346.794,-17.113.541,2
-20.267,-8.859,-4.346.794,-17.113.541,2
-19.961,-8.383,-4.346.794,-17.113.541,2
-19.683,-7.912,-4.346.794,-17.113.541,2
-19.497,-7.511,-4.346.794,-17.113.541,2
-19.365,-7.136,-4.346.794,-17.113.541,2
-19.213,-6.782,-4.346.794,-17.113.541,2
-1.905,-6.433,-4.346.794,-17.113.541,2
-18.824,-6.116,-4.346.794,-17.113.541,2
-18.597,-579,-4.346.794,-17.113.541,2
-18.233,-551,-4.346.794,-17.113.541,2
